2023/03/05 13:09:40 [notice] 1#1: using the "epoll" event method
2023/03/05 13:09:40 [notice] 1#1: nginx/1.21.6
2023/03/05 13:09:40 [notice] 1#1: built by gcc 10.3.1 20211027 (Alpine 10.3.1_git20211027) 
2023/03/05 13:09:40 [notice] 1#1: OS: Linux 5.10.16.3-microsoft-standard-WSL2
2023/03/05 13:09:40 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/03/05 13:09:40 [notice] 1#1: start worker processes
2023/03/05 13:09:40 [notice] 1#1: start worker process 8
2023/03/05 13:09:40 [notice] 1#1: start worker process 9
2023/03/05 13:09:40 [notice] 1#1: start worker process 10
2023/03/05 13:09:40 [notice] 1#1: start worker process 11
2023/03/05 13:09:40 [notice] 1#1: start worker process 12
2023/03/05 13:09:40 [notice] 1#1: start worker process 13
2023/03/05 13:09:40 [notice] 1#1: start worker process 14
2023/03/05 13:09:40 [notice] 1#1: start worker process 15
2023/03/05 13:09:40 [notice] 1#1: start worker process 16
2023/03/05 13:09:40 [notice] 1#1: start worker process 17
2023/03/05 13:09:40 [notice] 1#1: start worker process 18
2023/03/05 13:09:40 [notice] 1#1: start worker process 19
2023/03/05 13:09:40 [notice] 1#1: start worker process 20
2023/03/05 13:09:40 [notice] 1#1: start worker process 21
2023/03/05 13:09:40 [notice] 1#1: start worker process 22
2023/03/05 13:09:40 [notice] 1#1: start worker process 23
